source,family,implementation,workload,operations_kind,operations,threads,successful_repetitions,expected_repetitions,failed_repetitions,observed_repetitions,complete
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushBackPopFront,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,512.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,1024.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,2048.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,4096.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,16384.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,32768.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,49152.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,mmap,PushFrontPopBack,operations,61440.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,new/delete,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,new/delete,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,30,30,0,30,True
libVentra_deque_concurrent_deque_benchmark.json,deque,new/delete,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,30,30,0,30,True
